Nr.;Themengebiet;Frage;Option A;Option B;Option C;Option D;Richtig;Vollst„ndige Antwort;Schwierigkeit
1;Das kranke Kind;Ein S„ugling erbricht schwallartig im Strahl. An welche Diagnose ist zu denken?;Gastro”sophagealer Reflux (GERD);Akute virale Gastroenteritis;Akute Invagination;Hypertrophe Pylorusstenose.;D;Hypertrophe Pylorusstenose.;leicht
2;Das kranke Kind;Welches Anamnesemerkmal beim Husten weist typischerweise auf Pertussis (Keuchhusten) hin?;Bellig-trockener Husten vor allem morgens;Stakkatoartiger Husten (anfallsartig, in Salven).;Produktiver Husten mit eitrigem Sputum;Trockener Reizhusten bei Belastung;B;Stakkatoartiger Husten (anfallsartig, in Salven).;leicht
3;Das kranke Kind;Ein Kind hat entf„rbten (acholischen) Stuhl. Worauf weist dieser Befund hin?;Auf eine Cholestase.;Schweres Malabsorptionssyndrom (Z”liakie);Akute bakterielle Gastroenteritis;Obere gastrointestinale Blutung;A;Auf eine Cholestase.;mittel
4;Das kranke Kind;Welches okul„re Zeichen (?Sonnenuntergangsph„nomen?) deutet beim S„ugling auf eine bestimmte Pathologie hin?;Angeborenes Glaukom (Buphthalmus);Fortgeschrittenes Retinoblastom;Auf erh”hten Hirndruck.;Angeborene Fazialisparese;C;Auf erh”hten Hirndruck.;mittel
5;Das kranke Kind;Fehlende Leistenpulse bei der k”rperlichen Untersuchung sind verd„chtig auf welche Fehlbildung?;Groáer Ventrikelseptumdefekt (VSD);Persistierender Ductus arteriosus (PDA);Aortenisthmusstenose (Coarctatio aortae).;Klassische Fallot-Tetralogie;C;Aortenisthmusstenose (Coarctatio aortae).;mittel
6;Das kranke Kind;Welche Pupillenver„nderung spricht fr eine Opioid- bzw. Cholinergika-Intoxikation, welche fr eine Anticholinergika-Intoxikation?;Mydriasis bei Opioid-Intoxikation;Beidseitige tr„ge Pupillenreaktion;Miosis (enge Pupillen) bei Opioid-/Cholinergika-Intoxikation, Mydriasis (weite Pupillen) bei Anticholinergika-Intoxikation.;Vertikale Entrundung der Pupillen;C;Miosis (enge Pupillen) bei Opioid-/Cholinergika-Intoxikation, Mydriasis (weite Pupillen) bei Anticholinergika-Intoxikation.;mittel
7;Genetik/Syndromologie;Welcher Karyotyp liegt dem Ullrich-Turner-Syndrom zugrunde und welches Geschlecht ist betroffen?;"Karyotyp 47,XXY; betrifft Jungen";"45,X0 (Monosomie X); betroffen sind M„dchen.";"Karyotyp 47,XX+21; betrifft M„dchen";"Karyotyp 46,XY; Deletion 5p";B;"45,X0 (Monosomie X); betroffen sind M„dchen.";leicht
8;Genetik/Syndromologie;Welche kardiale Fehlbildung ist beim Ullrich-Turner-Syndrom typisch?;Transposition der groáen Arterien (TGA);Hypoplastisches Linksherzsyndrom (HLHS);"Aortenisthmusstenose bzw. bikuspide Aortenklappe; erh”htes Risiko fr Aortendissektion.";Totale fehlerhafte Lungenvenenmndung;C;"Aortenisthmusstenose bzw. bikuspide Aortenklappe; erh”htes Risiko fr Aortendissektion.";mittel
9;Genetik/Syndromologie;Welcher Karyotyp und welche endokrine St”rung kennzeichnen das Klinefelter-Syndrom?;"Karyotyp 45,X0; hypogonadotroper Hypogonadismus";"Karyotyp 47,XYY; vorzeitige Pubarche";"Karyotyp 47,XXY; hypergonadotroper Hypogonadismus (Therapie mit Testosteron).";"Karyotyp 46,XX; prim„re NNR-Insuffizienz";C;"Karyotyp 47,XXY; hypergonadotroper Hypogonadismus (Therapie mit Testosteron).";leicht
10;Genetik/Syndromologie;Das Fragile-X-Syndrom ist die h„ufigste monogene Ursache geistiger Behinderung. Welches Gen und welche Mutationsart liegen zugrunde?;"MECP2-Gen auf dem X-Chromosom; Punktmutation";"SMN1-Gen auf Chromosom 5; homozygote Deletion";"FBN1-Gen auf Chromosom 15; Missense-Mutation";"FMR1-Gen auf dem X-Chromosom; Verl„ngerung eines CGG-Trinukleotid-Repeats (Vollmutation >200 Repeats) mit Abschalten der Genexpression.";D;"FMR1-Gen auf dem X-Chromosom; Verl„ngerung eines CGG-Trinukleotid-Repeats (Vollmutation >200 Repeats) mit Abschalten der Genexpression.";schwer
11;Genetik/Syndromologie;Nennen Sie typische klinische Merkmale des Fragilen-X-Syndroms bei Jungen.;Langes schmales Gesicht, groáe Ohren, prominentes Kinn (Progenie), Makroorchidie (ab Pubert„t), Entwicklungsverz”gerung (Sprache > Motorik).;Rundes, flaches Gesicht, Epikanthus, Sandalenlcke;Dreieckiges Gesicht, blaue Skleren, Gelenkhypermobilit„t;Mikrozephalie, Synophrys, ausgepr„gter Minderwuchs;A;Langes schmales Gesicht, groáe Ohren, prominentes Kinn (Progenie), Makroorchidie (ab Pubert„t), Entwicklungsverz”gerung (Sprache > Motorik).;mittel
12;Genetik/Syndromologie;Welche chromosomale Ver„nderung liegt dem DiGeorge-/22q11.2-Deletionssyndrom zugrunde und welches Gen ist fr die kardiovaskul„ren Symptome verantwortlich?;"Mikrodeletion 22q11.2; das TBX1-Gen ist fr die kardiovaskul„ren Symptome (konotrunkale Defekte) verantwortlich.";"Mikroduplikation 22q11.2; SHANK3-Gen Defekt";"Mikrodeletion 15q11.2; UBE3A-Gen Defekt";"Reziproke Translokation t(11;22); EWSR1-Gen Defekt";A;"Mikrodeletion 22q11.2; das TBX1-Gen ist fr die kardiovaskul„ren Symptome (konotrunkale Defekte) verantwortlich.";schwer
13;Genetik/Syndromologie;Welche Trias aus Organbeteiligung ist beim DiGeorge-Syndrom klassisch?;Konotrunkaler Herzfehler, Thymushypo-/-aplasie (T-Zell-Defekt) und Hypoparathyreoidismus (hypokalz„mische Kr„mpfe).;Hypertrophe Kardiomyopathie, Hepatomegalie;Vorhofseptumdefekt, autoimmune Hypothyreose;Supravalvul„re Aortenstenose, B-Zell-Immundefekt;A;Konotrunkaler Herzfehler, Thymushypo-/-aplasie (T-Zell-Defekt) und Hypoparathyreoidismus (hypokalz„mische Kr„mpfe).;schwer
14;Genetik/Syndromologie;Welche Mikrodeletion liegt dem Williams-Beuren-Syndrom zugrunde und welche kardiovaskul„re Fehlbildung ist typisch?;"Mikrodeletion 4p16.3; groáer VSD";"Mikrodeletion 5p15.3; hypoplastische Pulmonalarterie";"Mikrodeletion 11q23; bikuspide Aortenklappe";"Mikrodeletion 7q11.23 (Elastin-Gen); typisch ist die supravalvul„re Aortenstenose; zus„tzlich Hyperkalz„mie.";D;"Mikrodeletion 7q11.23 (Elastin-Gen); typisch ist die supravalvul„re Aortenstenose; zus„tzlich Hyperkalz„mie.";schwer
15;Genetik/Syndromologie;Welche Wesensart zeigen Kinder mit Williams-Beuren-Syndrom h„ufig im Verlauf?;Frhkindlich autistisches Verhalten;Aggressives, impulsives und autoaggressives Verhalten;Im Kindesalter eher scheu, als Erwachsene extrovertiert und teils distanzlos (?freundliches/soziales? Wesen).;Apathisches, antriebsarmes Wesen;C;Im Kindesalter eher scheu, als Erwachsene extrovertiert und teils distanzlos (?freundliches/soziales? Wesen).;mittel
16;Genetik/Syndromologie;Beckwith-Wiedemann-Syndrom: Nennen Sie die charakteristische klinische Trias bei Geburt.;Mikrozephalie, Mikrophallismus und Zwerchfellhernie;Makrosomie, Laryngomalazie und Duodenalatresie;Pr„natale Wachstumsretardierung, Holoprosenzephalie;"Makrosomie, Makroglossie und Bauchwanddefekt (z. B. Omphalozele/Nabelhernie); zudem neonatale Hypoglyk„mie.";D;"Makrosomie, Makroglossie und Bauchwanddefekt (z. B. Omphalozele/Nabelhernie); zudem neonatale Hypoglyk„mie.";mittel
17;Genetik/Syndromologie;Warum sind beim Beckwith-Wiedemann-Syndrom regelm„áige Abdomensonographien notwendig?;Wegen des stark erh”hten Tumorrisikos (v. a. Wilms-Tumor, Hepatoblastom) ? Screening bis ca. zum 8. Lebensjahr.;Zur frhzeitigen Erfassung einer bili„ren Leberzirrhose;Zur šberwachung auf chronisch-entzndliche Darmerkrankungen;Wegen des Risikos fr rezidivierende Invaginationen;A;Wegen des stark erh”hten Tumorrisikos (v. a. Wilms-Tumor, Hepatoblastom) ? Screening bis ca. zum 8. Lebensjahr.;mittel
18;Genetik/Syndromologie;Angelman- und Prader-Willi-Syndrom betreffen dieselbe Region (15q11-q13). Wodurch unterscheiden sie sich genetisch?;Angelman durch Mikroduplikation, Prader-Willi durch Deletion;"Angelman-Syndrom: Verlust des maternalen Allels (UBE3A); Prader-Willi-Syndrom: Verlust des paternalen Allels ? Beispiel fr genomisches Imprinting.";Angelman gonosomal vererbt, Prader-Willi autosomal-dominant;Angelman FMR1-Gen Mutation, Prader-Willi v„terliches UBE3A-Gen;B;"Angelman-Syndrom: Verlust des maternalen Allels (UBE3A); Prader-Willi-Syndrom: Verlust des paternalen Allels ? Beispiel fr genomisches Imprinting.";schwer
19;Genetik/Syndromologie;Welche klinischen Merkmale (?Happy-Puppet?) sind fr das Angelman-Syndrom typisch?;Schwere Entwicklungsverz”gerung mit fehlender Sprache, Ataxie, Lachepisoden/fr”hliches Wesen, Epilepsie mit typischen EEG-Ver„nderungen (parietale Spikes).;Extreme Hyperphagie mit frhkindlicher Adipositas;Progressive Demenz mit spastischer Tetraparese;Normale kognitive Entwicklung mit Innenohrschwerh”rigkeit;A;Schwere Entwicklungsverz”gerung mit fehlender Sprache, Ataxie, Lachepisoden/fr”hliches Wesen, Epilepsie mit typischen EEG-Ver„nderungen (parietale Spikes).;mittel
20;Genetik/Syndromologie;Wie „uáert sich das Prader-Willi-Syndrom im S„uglingsalter und sp„ter im Kleinkindalter?;"S„ugling: Hypertonie; Kleinkind: extreme Kachexie";"S„ugling: Makrosomie; Kleinkind: Diabetes insipidus";"S„uglingsalter: muskul„re Hypotonie und Trinkschw„che/Gedeihst”rung; ab ca. 9.?15. Lebensmonat Hyperphagie mit Adipositas; zudem Hypogonadismus und Minderwuchs.";"S„ugling: Unauff„llig; Kleinkind: progressive Choreoathetose";C;"S„uglingsalter: muskul„re Hypotonie und Trinkschw„che/Gedeihst”rung; ab ca. 9.?15. Lebensmonat Hyperphagie mit Adipositas; zudem Hypogonadismus und Minderwuchs.";mittel
21;Stoffwechselst”rungen;Welcher Enzymdefekt liegt der klassischen Phenylketonurie (PKU) zugrunde?;Mangel der Phenylalaninhydroxylase (PAH), wodurch Phenylalanin nicht zu Tyrosin abgebaut wird.;Defekt der Galaktose-1-Phosphat-Uridyltransferase;Mangel an Verzweigtketten-Ketos„ure-Dehydrogenase;Defekt der Fumarylacetoacetat-Hydrolase (FAH);A;Mangel der Phenylalaninhydroxylase (PAH), wodurch Phenylalanin nicht zu Tyrosin abgebaut wird.;leicht
22;Stoffwechselst”rungen;Welcher charakteristische K”rper-/Uringeruch wird mit der unbehandelten PKU assoziiert?;Intensiver Geruch nach Ahornsirup oder Maggi-Wrze;M„useurin-artiger (?modriger?) Geruch durch Phenylketone.;Sálicher, obstartiger Geruch (Azetongeruch);Strenger Geruch nach faulen Eiern (Schwefelverbindungen);B;M„useurin-artiger (?modriger?) Geruch durch Phenylketone.;mittel
23;Stoffwechselst”rungen;Wie wird die PKU in Deutschland erfasst und worin besteht die Therapie?;"Erfassung bei U3; kausale Vitamin-B6-Gabe";"Erfassung durch das Neugeborenenscreening; Therapie ist eine lebenslange phenylalaninarme Di„t.";Nachweis ber pr„natale Fruchtwasseruntersuchung;Screening mittels Urinstix bei Einschulung;B;"Erfassung durch das Neugeborenenscreening; Therapie ist eine lebenslange phenylalaninarme Di„t.";leicht
24;Stoffwechselst”rungen;Welcher Geruch ist fr die Ahornsirupkrankheit typisch und welche Stoffwechselgruppe ist betroffen?;"Geruch nach ranziger Butter; Fetts„ureabbau betroffen";"Geruch nach Schweiáfáen; Kohlenhydratstoffwechsel betroffen";"Geruch nach Ahornsirup bzw. ?Maggi?; betroffen ist der Abbau der verzweigtkettigen Aminos„uren (Leucin, Isoleucin, Valin) durch Defekt der Verzweigtketten-Ketos„ure-Dehydrogenase.";"Geruch nach verfaultem Fisch; Harnstoffzyklus betroffen";C;"Geruch nach Ahornsirup bzw. ?Maggi?; betroffen ist der Abbau der verzweigtkettigen Aminos„uren (Leucin, Isoleucin, Valin) durch Defekt der Verzweigtketten-Ketos„ure-Dehydrogenase.";mittel
